order	tree	tree_sp	block	block2	site	treatment	mo	moisture_content	LAI	basal_area	nematodes_gram	Achromadora	Acrobeles	Acrobeloides	Acrolobus	Aglenchus	Alaimus	Allodorylaimus	Anaplectus	Anatonchus	Anguina	Aphelenchoides	Aphelenchus	Aporcelaimellus	Aporcelaimium	Aporcelaimus	Aprutides	Axonchium	Basiria	Bastiania	Boleodorus	Bunonema	Bursaphelenchus	Bursilla	Cephalenchus	Cephalobus	Cervidellus	Chiloplacus	Chromadorita	Chronogaster	Clarkus	Coomansus	Coslenchus	criconema	Criconemella	Criconemoides	Criptonchus	Cylindrolaimus	Daptonema	Dauer larva	Dintheria	Diphtherophora	Diplogasteritus	Discolaimium	Ditylenchus	Domorganus	Dorylaimellus	Dorylaimoides	Drilocephalobus	ecphyadophora	Epidorylaimus	Eucephalobus	Eudorylaimus	Eumonhystera 	Filenchus	Fungtionchun	Geomonhystera	Helicotylenchus	Hemicycliophora	Heterocephalobus	Hexatilus	Ironus	Labronema	Lelenchus	Leptolaimus	Leptonchus	Longidorella	Longidorus	Malenchus	Merlinius	Mesocriconema	Mesorhabditis	Metateratocephalus	Microdorylaimus	Microlaimus	Miconchus	Miculenchus	Monhystera	Monhystrella	Mylonchulus	Neopsilenchus	Neothada	Nothotylenchus	Nygolaimus	Ogma	Odontolaymus	Onchulus	Panagrolaimus	Paramphidelus	Paraphelenchus	Pararotylenchus	Paratrichodorus	Paratylenchus	Paraxonchium	Pellioditis	Pelodera	Plectus	Plectonchus	Pratylenchus	Prionchulus	Prismatolaimus	Pristionchus	Prodesmodora	Prodorylaimus	Pseudhalenchus	Psilenchus	Pungentus	Rhabditis	Rhabdolaimus	Rotylenchus	Sectonema	Seinura	Stenonchulus	Sterneinema	Subanguina	Tenunemellus	Teratocephalus	Teratorhabditis	Theristus	Thornia	Thonus	tobrilus	Trichistoma	Trichodorus	Tripyla	Trophonema	Turbatrix	Tylencholaimellus	Tylencholaimus	Tylenchorhynchus	Tylenchus	Tylocephalus	tylolaimophorus	Verutus	Wilsonema	Xiphinema	maturity_index	maturity_index _2-5 	sigma_maturity _index	plant_parasitic_index	channel_index	basal_index	enrichment_index	structure_index	total_biomass	composite_footprint	enrichment_footprint	structure_footprint	herbivore_footprint	fungivore_footprint	bacterivore_footprint	predator_footprint	omnivore_footprint	total_number	herbivores_percentage	fungivores_percentage	fungivores_percen_free-living	bacterivores_percentage	bacterivores_percen_free-living	predators_percen	predators_percen_free-living	omnivores_percentage	omnivores_percen_free-living	sedentary_parasites_percen_herbivores	migratory_endoparasites_percen_herbivores	semi-endoparasites_percen_herbivores	ectoparasites_percen_ herbivores	epidermal_percen_herbivores	"Algal/lichen/moss feeders, % of herbivores"	cp1_percen_free-living	cp2_percen_free-living	cp3_percen_free-living	cp4_percen_free-living	cp5_percen_free-living	pp2_percen_herbivores	pp3_percen_herbivores	pp4_percen_herbivores	pp5_percen_herbivores	bacterivores_number	fungivores_number	predators_number	hervibores_number	omnivores_number	ncr	f_b_ratio	nutritional_status_changes	f+b_pp	prey_predator	topdown	hervibores_number16	f_b_ratio16	fungivores_number16	hervibores_percen16	fungivores_percen16	prey_predator16	richness16	abundance16	shannong16
1	a-2	encina	1	1	Puechabon	control	21.94087348	38.2	2.69	463.7697615	15.12	0.00000	1.21000	0.00000	0.00000	0.00000	0.00000	0.00000	0.45000	0.00000	0.00000	0.15000	0.00000	0.00000	0.00000	0.15000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.30000	0.00000	0.91000	0.45000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.30000	0.00000	0.60000	2.72000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.15000	3.02000	0.00000	0.00000	0.00000	0.00000	1.51000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.15000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.30000	0.00000	0.00000	0.00000	0.60000	0.00000	0.00000	0.00000	0.30000	0.00000	0.76000	0.00000	0.15000	0.15000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.30000	0.00000	0.00000	0.00000	0.00000	0.00000	0.30000	0.00000	0.00000	0.15000	0.00000	0.00000	0.00000	0.00000	2.33000	2.33000	2.20000	2.00000	100.00000	42.15000	31.92000	47.47000	0.02000	3.40000	0.19000	2.17000	0.25000	0.24000	0.90000	0.26000	1.76000	15.08000	39.10000	24.00000	39.40000	32.00000	52.40000	3.00000	4.90000	2.00000	3.30000	0.00000	0.00000	0.00000	5.10000	94.90000	0.00000	0.00000	77.00000	14.80000	6.50000	1.60000	100.00000	0.00000	0.00000	0.00000	4.84000	3.63000	0.45000	5.91000	0.30000	0.57000	0.75000	1.17000	1.43316	19.17333	0.12690									
2	a10	encina	1	1	Puechabon	control	27.74481491	39.65	2.69	102.0703453	11.32	0.00000	0.91000	0.57000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.23000	0.00000	0.23000	0.00000	0.00000	0.00000	0.00000	0.34000	0.00000	0.00000	0.00000	1.02000	0.11000	0.00000	0.45000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.11000	0.00000	0.00000	0.00000	0.34000	0.00000	0.11000	0.00000	0.00000	0.23000	3.06000	0.00000	0.00000	0.00000	0.00000	0.23000	0.34000	0.00000	0.00000	0.11000	0.00000	0.00000	0.00000	0.00000	0.11000	0.00000	0.00000	0.11000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.11000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.91000	0.00000	0.00000	0.00000	0.11000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.11000	0.23000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.11000	0.00000	0.00000	0.00000	0.34000	0.00000	0.57000	0.23000	0.00000	0.00000	0.00000	0.00000	2.17000	2.19000	2.13000	2.00000	84.70000	46.23000	42.00000	30.50000	0.01000	1.71000	0.48000	0.59000	0.20000	0.49000	0.48000	0.12000	0.42000	11.33000	21.00000	46.00000	58.20000	29.00000	36.80000	1.00000	1.20000	3.00000	3.80000	0.00000	0.00000	0.00000	38.20000	61.80000	0.00000	2.50000	88.70000	1.20000	5.00000	2.60000	100.00000	0.00000	0.00000	0.00000	3.28000	5.21000	0.11000	2.38000	0.34000	0.39000	1.59000	1.09000	3.56723	24.15556	0.18908									
3	a17	encina	1	1	Puechabon	control	20.76010043	41.76	2.69	1256.637061	17.43	0.00000	0.35000	0.86000	0.35000	0.00000	0.00000	0.00000	0.17000	0.00000	0.00000	2.24000	0.00000	0.52000	0.00000	0.17000	0.00000	0.17000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.86000	0.17000	0.00000	0.00000	0.17000	0.00000	0.00000	0.17000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.17000	0.00000	0.17000	0.00000	0.17000	0.86000	0.00000	0.52000	2.42000	0.00000	0.00000	0.17000	0.00000	1.04000	0.00000	0.00000	0.00000	0.17000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.17000	0.00000	0.00000	0.35000	0.00000	0.00000	0.17000	0.00000	0.00000	0.00000	0.17000	0.00000	0.17000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.21000	0.00000	0.00000	0.35000	0.00000	0.00000	0.00000	0.17000	0.00000	0.00000	0.00000	0.52000	0.00000	0.52000	0.00000	0.17000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.69000	0.00000	0.17000	0.52000	0.17000	0.00000	0.00000	0.00000	2.38000	2.38000	2.42000	2.72000	100.00000	39.88000	33.64000	50.02000	0.03000	4.45000	0.48000	2.93000	0.26000	0.64000	0.92000	0.00000	2.63000	17.41000	10.80000	40.60000	45.50000	41.60000	46.70000	0.00010	0.00000	7.00000	7.80000	18.10000	0.00000	9.00000	27.70000	45.20000	0.00000	0.00000	78.90000	8.90000	7.80000	4.40000	63.80000	18.10000	0.00000	18.10000	7.25000	7.08000	0.00010	1.88000	1.22000	0.51000	0.98000	0.88000	7.62234	13.28689	0.64894									
4	a39	encina	1	1	Puechabon	control	23.469944	41.09	2.69	103.8689071	7.97	0.00000	0.56000	0.24000	0.08000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.24000	0.00000	0.08000	0.08000	0.16000	0.00000	0.08000	0.08000	0.00000	0.08000	0.00000	0.40000	0.00000	0.08000	0.40000	0.16000	0.00000	0.00000	0.00000	0.00000	0.08000	0.00000	0.08000	0.00000	0.00000	0.00000	0.00000	0.00000	0.08000	0.00000	0.08000	0.00000	0.00000	0.08000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.27000	0.00000	0.00000	0.00000	0.00000	0.16000	0.00000	0.00000	0.00000	0.08000	0.00000	0.00000	0.00000	0.00000	0.08000	0.00000	0.00000	0.00000	0.00000	0.08000	0.00000	0.08000	0.00000	0.00000	0.00000	0.00000	0.16000	0.08000	0.00000	0.16000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.16000	0.00000	0.00000	0.00000	0.24000	0.00000	0.00000	0.00000	0.16000	0.00000	0.00000	0.00000	0.08000	0.00000	0.08000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.32000	0.00000	0.00000	0.08000	0.08000	0.24000	0.08000	0.00000	0.00000	0.00000	0.00000	0.00000	0.72000	0.08000	0.16000	0.16000	0.08000	0.00000	0.00000	0.00000	2.70000	2.72000	2.64000	2.33000	86.61000	24.79000	37.00000	70.99000	0.02000	3.59000	0.21000	2.91000	0.15000	0.30000	0.43000	0.75000	1.96000	7.99000	15.00000	36.90000	43.40000	32.00000	37.70000	8.00000	9.40000	8.00000	9.40000	6.70000	0.00000	0.00000	26.70000	66.70000	0.00000	1.20000	59.90000	14.10000	17.70000	7.10000	80.00000	13.30000	0.00000	6.70000	2.55000	2.94000	0.64000	1.19000	0.64000	0.46000	1.15000	1.16000	4.61345	5.21875	1.07563									
5	a49	encina	1	1	Puechabon	control	25.58937857	40.13	2.69	352.9893506	7.04	0.00000	0.14000	0.28000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.63000	0.00000	0.07000	0.00000	0.00000	0.00000	0.00000	0.21000	0.00000	0.00000	0.00000	0.49000	0.07000	0.00000	0.28000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.07000	0.07000	0.07000	1.06000	0.00000	0.07000	0.00000	0.00000	0.07000	0.00000	0.00000	0.00000	0.28000	0.00000	0.07000	0.00000	0.00000	0.07000	0.07000	0.00000	0.07000	0.00000	0.07000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.07000	0.00000	0.14000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.07000	0.56000	0.00000	0.00000	0.00000	0.21000	0.00000	0.00000	0.00000	0.14000	0.00000	0.00000	0.00000	0.21000	0.00000	0.00000	0.00000	0.00000	0.35000	0.00000	0.07000	0.00000	0.00000	0.00000	0.00000	0.07000	0.00000	0.00000	0.00000	0.00000	0.00000	0.07000	0.07000	0.00000	0.00000	0.00000	0.00000	0.42000	0.00000	0.21000	0.14000	0.00000	0.00000	0.00000	0.00000	2.32000	2.36000	2.33000	2.36000	81.88000	36.39000	44.46000	48.65000	0.00000	1.13000	0.20000	0.32000	0.41000	0.26000	0.25000	0.03000	0.17000	7.01000	28.00000	43.10000	59.80000	24.00000	33.30000	2.00000	2.80000	3.00000	4.20000	0.00000	0.00000	17.90000	39.30000	42.90000	0.00000	2.80000	77.80000	5.50000	12.50000	1.40000	71.40000	21.40000	7.10000	0.00000	1.69000	3.03000	0.14000	1.97000	0.21000	0.36000	1.80000	0.98000	2.39594	19.11429	0.17766									
6	a54	encina	1	1	Puechabon	control	26.30230572	41.37	2.69	769.4467267	25.66	0.76000	0.51000	0.25000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.02000	0.00000	0.25000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.76000	0.00000	0.00000	0.00000	0.00000	6.86000	0.00000	0.25000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.25000	0.00000	0.00000	0.00000	0.00000	0.51000	0.00000	0.25000	1.02000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.25000	0.51000	0.00000	6.86000	0.00000	0.00000	0.51000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.51000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.25000	0.00000	0.00000	0.00000	0.25000	0.00000	1.02000	0.00000	0.25000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.25000	0.00000	0.00000	0.00000	0.51000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.51000	0.00000	0.25000	1.02000	0.00000	0.00000	0.00000	0.00000	2.61000	2.61000	2.87000	3.01000	100.00000	26.33000	31.07000	70.12000	0.02000	5.20000	0.13000	1.00000	3.68000	0.22000	0.52000	0.05000	0.73000	25.64000	64.40000	10.90000	30.60000	17.80000	50.00000	1.00000	2.70000	5.90000	16.60000	6.10000	0.00000	0.00000	89.30000	4.60000	0.00000	0.00000	55.60000	30.50000	11.20000	2.70000	4.60000	92.40000	0.00000	3.00000	4.57000	2.80000	0.26000	16.53000	1.51000	0.62000	0.61000	0.87000	0.44586	13.50282	0.10708									
7	212	encina	1	1	Puechabon	drought	32.48929336	43.78	2.25	100.2874915	9.51	0.00000	0.29000	0.10000	0.00000	0.00000	0.00000	0.10000	0.19000	0.00000	0.00000	0.29000	0.00000	0.38000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.10000	0.38000	0.00000	0.10000	0.00000	0.10000	0.00000	0.00000	0.00000	0.00000	0.00000	0.10000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.10000	0.10000	0.19000	0.48000	2.19000	0.00000	0.19000	0.00000	0.00000	0.38000	0.00000	0.00000	0.00000	1.14000	0.00000	0.00000	0.10000	0.00000	0.19000	0.00000	0.10000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.10000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.19000	0.00000	0.00000	0.00000	0.86000	0.00000	0.00000	0.00000	0.10000	0.00000	0.19000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.19000	0.00000	0.00000	0.00000	0.00000	0.00000	0.10000	0.00000	0.00000	0.00000	0.00000	0.10000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.29000	0.19000	0.00000	0.00000	0.00000	0.00000	2.37000	2.39000	2.32000	2.20000	87.73000	39.28000	36.22000	49.44000	0.01000	2.11000	0.18000	1.07000	0.29000	0.17000	0.61000	0.11000	0.92000	9.60000	26.00000	29.80000	40.30000	34.10000	46.10000	1.00000	1.40000	9.10000	12.30000	0.00000	0.00000	7.60000	15.60000	76.80000	0.00000	1.40000	80.80000	4.10000	6.90000	6.80000	84.40000	11.60000	4.00000	0.00000	3.24000	2.83000	0.10000	2.47000	0.87000	0.53000	0.87000	1.08000	2.45749	8.80412	0.39271									
8	217-1	encina	1	1	Puechabon	drought	23.07188012	42.25	2.25	213.82465	13.58	0.14000	0.81000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.27000	0.00000	0.27000	0.00000	0.14000	0.00000	0.00000	0.14000	0.00000	0.81000	0.00000	0.41000	0.00000	0.00000	0.27000	0.68000	0.00000	0.00000	0.00000	0.00000	0.00000	0.14000	0.27000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.14000	0.14000	0.14000	0.41000	2.44000	0.00000	0.14000	0.00000	0.00000	0.27000	0.14000	0.00000	0.00000	0.68000	0.00000	0.00000	0.27000	0.00000	0.00000	0.00000	0.27000	0.00000	0.00000	0.27000	0.00000	0.00000	0.27000	0.00000	0.00000	0.00000	0.00000	0.27000	0.00000	0.27000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.14000	0.00000	0.00000	0.00000	0.95000	0.00000	0.00000	0.00000	1.22000	0.00000	0.00000	0.00000	0.00000	0.14000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.14000	0.27000	0.00000	0.00000	0.00000	0.14000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.14000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	2.52000	2.52000	2.47000	2.33000	100.00000	32.82000	31.99000	61.18000	0.02000	3.82000	0.24000	2.61000	0.32000	0.26000	0.85000	0.31000	2.08000	13.61000	27.00000	25.00000	34.20000	37.90000	52.00000	2.00000	2.70000	8.10000	11.10000	3.80000	0.00000	0.00000	25.80000	70.40000	0.00000	0.00000	69.80000	15.00000	8.40000	6.80000	74.20000	18.50000	7.30000	0.00000	5.15000	3.39000	0.27000	3.67000	1.10000	0.60000	0.66000	1.08000	2.32698	8.91241	0.37330									
9	217-2	encina	1	1	Puechabon	drought	25.55063758	38.12	2.25	212.2723891	9.02	0.09000	0.62000	0.18000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.27000	0.00000	0.27000	0.00000	0.53000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.09000	0.00000	0.00000	0.18000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.09000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.09000	0.00000	0.00000	0.18000	0.09000	0.18000	0.71000	1.15000	0.00000	0.18000	0.27000	0.00000	0.09000	0.00000	0.00000	0.00000	0.18000	0.00000	0.00000	0.00000	0.00000	0.09000	0.00000	0.00000	0.00000	0.00000	0.09000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.18000	0.09000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.09000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.88000	0.00000	0.00000	0.00000	0.27000	0.00000	0.53000	0.00000	0.09000	0.00000	0.09000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.18000	0.62000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.18000	0.00000	0.00000	0.00000	0.00000	0.18000	0.09000	0.00000	0.00000	2.83000	2.83000	2.80000	2.50000	100.00000	22.98000	27.43000	74.83000	0.06000	7.28000	0.11000	6.53000	0.08000	0.23000	0.63000	0.00000	6.33000	9.09000	9.90000	24.50000	27.20000	41.00000	45.50000	0.00010	0.00000	24.50000	27.20000	10.00000	0.00000	30.00000	10.00000	50.00000	0.00000	0.00000	57.50000	12.00000	20.80000	9.80000	50.00000	50.00000	0.00000	0.00000	3.70000	2.21000	0.00010	0.89000	2.21000	0.63000	0.60000	1.13000	6.64045	3.07692	2.48315									
10	226	encina	1	1	Puechabon	drought	22.10108103	39.97	2.25	716.3145409	13.46	0.00000	0.13000	0.27000	0.00000	0.00000	0.00000	0.00000	0.13000	0.00000	0.00000	0.13000	0.00000	0.00000	0.00000	0.40000	0.00000	0.00000	0.40000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.81000	0.81000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.40000	0.00000	0.13000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.13000	0.13000	0.13000	0.00000	0.13000	0.00000	0.40000	2.15000	0.00000	0.00000	0.13000	0.00000	0.13000	0.00000	0.00000	0.00000	0.81000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.54000	0.13000	0.00000	0.27000	0.00000	0.00000	0.13000	0.00000	0.00000	0.00000	0.13000	0.13000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.40000	0.00000	0.00000	0.40000	0.00000	0.00000	0.00000	0.13000	0.00000	0.00000	0.00000	0.40000	0.00000	0.13000	0.00000	0.00000	0.13000	0.00000	0.00000	0.00000	0.00000	0.13000	0.00000	0.00000	0.00000	0.00000	0.00000	0.40000	0.00000	0.00000	0.00000	0.81000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.27000	0.00000	0.00000	1.08000	0.00000	0.00000	0.00000	0.00000	2.54000	2.56000	2.49000	2.35000	83.75000	31.98000	31.90000	62.38000	0.05000	6.37000	0.21000	5.33000	0.34000	0.27000	0.61000	0.00000	5.15000	13.36000	25.90000	23.10000	31.10000	39.00000	52.60000	0.00010	0.00000	12.10000	16.30000	0.00000	0.00000	3.80000	42.50000	53.80000	0.00000	1.30000	69.00000	9.40000	14.90000	5.40000	65.30000	34.70000	0.00000	0.00000	5.25000	3.11000	0.00010	3.49000	1.63000	0.63000	0.59000	1.08000	2.39542	7.26994	0.46705									
11	234	encina	1	1	Puechabon	drought	24.43858015	39.62	2.25	46.56625711	18.97	0.19000	0.19000	0.56000	0.00000	0.19000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.19000	0.00000	0.00000	0.00000	0.00000	0.19000	0.00000	0.00000	0.00000	0.19000	0.00000	0.38000	0.19000	0.19000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.56000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.19000	0.00000	0.00000	0.00000	0.00000	0.19000	0.19000	0.00000	0.19000	0.19000	3.76000	0.00000	0.00000	0.00000	0.00000	0.94000	0.00000	0.00000	0.00000	6.57000	0.00000	0.00000	0.00000	0.00000	0.19000	0.38000	0.19000	0.00000	0.00000	0.19000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.56000	0.00000	0.00000	0.00000	0.56000	0.00000	0.00000	0.00000	0.00000	0.00000	0.19000	0.00000	0.00000	0.00000	0.19000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.19000	0.00000	0.00000	0.19000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.19000	0.00000	0.00000	0.75000	0.00000	0.00000	0.00000	0.00000	2.34000	2.34000	2.24000	2.14000	100.00000	41.78000	34.94000	46.13000	0.01000	2.01000	0.25000	0.75000	0.49000	0.28000	0.55000	0.00000	0.69000	19.01000	50.40000	22.80000	46.00000	20.80000	41.90000	0.00010	0.00000	6.00000	12.10000	2.00000	0.00000	0.00000	17.60000	80.40000	0.00000	0.00000	81.80000	4.00000	12.10000	2.00000	86.20000	13.80000	0.00000	0.00000	3.94000	4.32000	0.00010	9.56000	1.14000	0.48000	1.10000	1.09000	0.86402	15.63158	0.11925									
12	237	encina	1	1	Puechabon	drought	20.36201364	42.7	2.25	706.8583471	17.64	0.18000	0.00000	0.18000	0.00000	0.00000	0.00000	0.35000	0.00000	0.00000	0.00000	0.00000	0.00000	0.88000	0.00000	0.18000	0.00000	0.00000	0.35000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.18000	0.00000	0.35000	0.00000	0.00000	0.00000	0.00000	0.00000	0.53000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.18000	0.18000	0.00000	0.00000	0.00000	0.18000	0.00000	0.18000	0.35000	0.00000	0.35000	2.65000	0.00000	0.00000	0.35000	0.00000	0.35000	0.00000	0.00000	0.00000	0.53000	0.00000	0.00000	0.00000	0.00000	1.06000	0.00000	0.35000	0.18000	0.00000	1.76000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.06000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.35000	0.00000	0.00000	0.00000	0.00000	0.00000	0.35000	0.00000	0.00000	0.00000	1.06000	0.00000	0.35000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.18000	0.18000	0.00000	0.00000	0.00000	0.18000	0.18000	0.18000	0.00000	0.00000	0.18000	0.71000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.18000	0.00000	0.18000	0.53000	0.00000	0.00000	0.00000	0.00000	3.02000	3.05000	2.81000	2.35000	79.72000	16.10000	38.59000	82.09000	0.04000	6.93000	0.22000	5.44000	0.88000	0.20000	0.63000	0.04000	5.18000	17.68000	31.00000	17.00000	24.70000	26.00000	37.60000	1.00000	1.50000	25.00000	36.20000	3.30000	3.30000	16.10000	16.10000	61.30000	0.00000	1.50000	46.30000	13.00000	27.50000	11.60000	64.60000	35.40000	0.00000	0.00000	4.59000	3.00000	0.18000	5.47000	4.41000	0.60000	0.65000	1.29000	1.38757	2.84532	0.83912									
